survey_year,household_id,survey_weight,total_consumption_spend_eur,home_energy_spend_eur,home_electricity_spend_eur,home_gas_spend_eur,home_other_fuels_spend_eur,private_vehicle_fuel_spend_eur,vehicle_diesel_spend_eur,vehicle_petrol_spend_eur,monthly_net_income_eur,household_size,children_under18,employed_members,region_code,municipality_size_code,dwelling_area_m2,heating_energy_source,hot_water_energy_source
2023,5934,904.320315,34674.2864667372,1125.8399961964801,1125.8399961964801,0,0,3322.32659176743,3322.32659176743,0,1159,2,0,0,1,3,120,No heating,LPG
2023,5935,374.758148,52584.7975425474,1260.00000939272,1260.00000939272,0,0,92.3806998854098,31.424186673054,60.9565132123558,1716,3,2,1,4,1,80,Electricity,Electricity
2023,5936,903.360784,11397.8311792645,1477.619998168971,876.00000356004,0,601.619994608931,0,0,0,795,1,0,0,12,3,110,No heating,LPG
2023,5937,1561.351213,24738.6993319613,1271.9999981195779,659.999999628527,611.999998491051,0,2166.92856919694,0,2166.92856919694,2999,2,0,1,9,1,68,Natural gas,Natural gas
2023,5938,832.452852,21217.4199146116,561.599997978024,561.599997978024,0,0,1661.16329192419,1661.16329192419,0,2958,2,0,2,3,3,48,No heating,LPG
2023,5939,243.408395,22017.7254773813,251.279993855594,251.279993855594,0,0,0,0,0,718,4,3,0,11,5,90,No heating,Electricity
2023,5940,1581.809608,26906.922150899,412.559998813713,412.559998813713,0,0,0,0,0,2369,2,0,0,1,1,61,No heating,Electricity
2023,5941,2367.100022,19739.1116326896,2542.740000025229,635.879999159579,1906.86000086565,0,0,0,0,1291,2,0,0,9,5,90,Natural gas,Natural gas
2023,5942,641.428628,48072.6871298922,840.000003866369,840.000003866369,0,0,188.1462016690656,57.9365004581616,130.209701210904,2724,4,1,2,5,5,120,No heating,Electricity
2023,5943,2735.415377,71589.2896803,2522.352099799573,2522.339999260738,0,0.0121005388352761,4375.23587116985,740.14749899536,3635.08837217449,4354,9,2,3,1,2,200,No heating,Electricity
2023,5944,670.132343,93640.3175812692,1020.0000002089139,780.000003670917,239.999996537997,0,832.716904099643,0,832.716904099643,5883,2,0,1,1,1,115,No heating,Natural gas
